Search_method Problem Max_evals Run Score
random_restart knapPI_11_20_1000_4 1000 26 1400
random_restart knapPI_11_20_1000_4 1000 27 1440
random_restart knapPI_11_20_1000_4 1000 28 1440
random_restart knapPI_11_20_1000_4 1000 29 1400
random_restart knapPI_13_200_1000_4 1000 0 -16833
random_restart knapPI_13_200_1000_4 1000 1 -15330
random_restart knapPI_13_200_1000_4 1000 2 -16899
random_restart knapPI_13_200_1000_4 1000 3 -17160
random_restart knapPI_13_200_1000_4 1000 4 -16236
random_restart knapPI_13_200_1000_4 1000 5 -18888
random_restart knapPI_13_200_1000_4 1000 6 -17310
random_restart knapPI_13_200_1000_4 1000 7 -13374
random_restart knapPI_13_200_1000_4 1000 8 -13872
random_restart knapPI_13_200_1000_4 1000 9 -16983
random_restart knapPI_13_200_1000_4 1000 10 -18492
random_restart knapPI_13_200_1000_4 1000 11 -18084
random_restart knapPI_13_200_1000_4 1000 12 -15915
random_restart knapPI_13_200_1000_4 1000 13 -19275
random_restart knapPI_13_200_1000_4 1000 14 -18633
random_restart knapPI_13_200_1000_4 1000 15 -19269
random_restart knapPI_13_200_1000_4 1000 16 -18258
random_restart knapPI_13_200_1000_4 1000 17 -19323
random_restart knapPI_13_200_1000_4 1000 18 -17901
random_restart knapPI_13_200_1000_4 1000 19 -17337
random_restart knapPI_13_200_1000_4 1000 20 -14814
random_restart knapPI_13_200_1000_4 1000 21 -18636
random_restart knapPI_13_200_1000_4 1000 22 -18291
random_restart knapPI_13_200_1000_4 1000 23 -16296
random_restart knapPI_13_200_1000_4 1000 24 -17655
random_restart knapPI_13_200_1000_4 1000 25 -19449
random_restart knapPI_13_200_1000_4 1000 26 -16308
random_restart knapPI_13_200_1000_4 1000 27 -18177
random_restart knapPI_13_200_1000_4 1000 28 -18168
random_restart knapPI_13_200_1000_4 1000 29 -16536
random_restart knapPI_16_1000_1000_3 1000 0 -218042
random_restart knapPI_16_1000_1000_3 1000 1 -213042
random_restart knapPI_16_1000_1000_3 1000 2 -215113
random_restart knapPI_16_1000_1000_3 1000 3 -213675
random_restart knapPI_16_1000_1000_3 1000 4 -203481
random_restart knapPI_16_1000_1000_3 1000 5 -211903
random_restart knapPI_16_1000_1000_3 1000 6 -216785
random_restart knapPI_16_1000_1000_3 1000 7 -204139
random_restart knapPI_16_1000_1000_3 1000 8 -213407
random_restart knapPI_16_1000_1000_3 1000 9 -204086
random_restart knapPI_16_1000_1000_3 1000 10 -200621
random_restart knapPI_16_1000_1000_3 1000 11 -214513
random_restart knapPI_16_1000_1000_3 1000 12 -212664
random_restart knapPI_16_1000_1000_3 1000 13 -208039
random_restart knapPI_16_1000_1000_3 1000 14 -206469
random_restart knapPI_16_1000_1000_3 1000 15 -218082
random_restart knapPI_16_1000_1000_3 1000 16 -209034
random_restart knapPI_16_1000_1000_3 1000 17 -211256
random_restart knapPI_16_1000_1000_3 1000 18 -215516
random_restart knapPI_16_1000_1000_3 1000 19 -210921
random_restart knapPI_16_1000_1000_3 1000 20 -208651
random_restart knapPI_16_1000_1000_3 1000 21 -214564
random_restart knapPI_16_1000_1000_3 1000 22 -206359
random_restart knapPI_16_1000_1000_3 1000 23 -208148
random_restart knapPI_16_1000_1000_3 1000 24 -213170
random_restart knapPI_16_1000_1000_3 1000 25 -205117
random_restart knapPI_16_1000_1000_3 1000 26 -214256
random_restart knapPI_16_1000_1000_3 1000 27 -211867
random_restart knapPI_16_1000_1000_3 1000 28 -212400
random_restart knapPI_16_1000_1000_3 1000 29 -209984
random_search knapPI_11_20_1000_4 1000 0 1300
random_search knapPI_11_20_1000_4 1000 1 1400
random_search knapPI_11_20_1000_4 1000 2 1200
random_search knapPI_11_20_1000_4 1000 3 1280
random_search knapPI_11_20_1000_4 1000 4 1200
random_search knapPI_11_20_1000_4 1000 5 1200
random_search knapPI_11_20_1000_4 1000 6 1280
random_search knapPI_11_20_1000_4 1000 7 1220
random_search knapPI_11_20_1000_4 1000 8 1020
random_search knapPI_11_20_1000_4 1000 9 1200
random_search knapPI_11_20_1000_4 1000 10 1200
random_search knapPI_11_20_1000_4 1000 11 1140
random_search knapPI_11_20_1000_4 1000 12 1240
random_search knapPI_11_20_1000_4 1000 13 1160
random_search knapPI_11_20_1000_4 1000 14 1140
random_search knapPI_11_20_1000_4 1000 15 1180
random_search knapPI_11_20_1000_4 1000 16 1300
random_search knapPI_11_20_1000_4 1000 17 1160
random_search knapPI_11_20_1000_4 1000 18 1320
random_search knapPI_11_20_1000_4 1000 19 1400
random_search knapPI_11_20_1000_4 1000 20 1400
random_search knapPI_11_20_1000_4 1000 21 1200
random_search knapPI_11_20_1000_4 1000 22 1260
random_search knapPI_11_20_1000_4 1000 23 1240
random_search knapPI_11_20_1000_4 1000 24 1100
random_search knapPI_11_20_1000_4 1000 25 1140
random_search knapPI_11_20_1000_4 1000 26 1020
random_search knapPI_11_20_1000_4 1000 27 1160
random_search knapPI_11_20_1000_4 1000 28 1280
random_search knapPI_11_20_1000_4 1000 29 1100
random_search knapPI_13_200_1000_4 1000 0 -26271
random_search knapPI_13_200_1000_4 1000 1 -25749
random_search knapPI_13_200_1000_4 1000 2 -25221
random_search knapPI_13_200_1000_4 1000 3 -26511
random_search knapPI_13_200_1000_4 1000 4 -24825
random_search knapPI_13_200_1000_4 1000 5 -23319
random_search knapPI_13_200_1000_4 1000 6 -26145
random_search knapPI_13_200_1000_4 1000 7 -26568
random_search knapPI_13_200_1000_4 1000 8 -27105
random_search knapPI_13_200_1000_4 1000 9 -27513
random_search knapPI_13_200_1000_4 1000 10 -26118
random_search knapPI_13_200_1000_4 1000 11 -26562
random_search knapPI_13_200_1000_4 1000 12 -24510
random_search knapPI_13_200_1000_4 1000 13 -24450
random_search knapPI_13_200_1000_4 1000 14 -27540
random_search knapPI_13_200_1000_4 1000 15 -26943
random_search knapPI_13_200_1000_4 1000 16 -24888
random_search knapPI_13_200_1000_4 1000 17 -26580
random_search knapPI_13_200_1000_4 1000 18 -25878
random_search knapPI_13_200_1000_4 1000 19 -25281
random_search knapPI_13_200_1000_4 1000 20 -25128
random_search knapPI_13_200_1000_4 1000 21 -26169
random_search knapPI_13_200_1000_4 1000 22 -23973
random_search knapPI_13_200_1000_4 1000 23 -25455
random_search knapPI_13_200_1000_4 1000 24 -24630
random_search knapPI_13_200_1000_4 1000 25 -26385
random_search knapPI_13_200_1000_4 1000 26 -25686
random_search knapPI_13_200_1000_4 1000 27 -25992
random_search knapPI_13_200_1000_4 1000 28 -26595
random_search knapPI_13_200_1000_4 1000 29 -26415
random_search knapPI_16_1000_1000_3 1000 0 -219401
random_search knapPI_16_1000_1000_3 1000 1 -220144
random_search knapPI_16_1000_1000_3 1000 2 -220270
random_search knapPI_16_1000_1000_3 1000 3 -219417
random_search knapPI_16_1000_1000_3 1000 4 -221546
random_search knapPI_16_1000_1000_3 1000 5 -217270
random_search knapPI_16_1000_1000_3 1000 6 -222431
random_search knapPI_16_1000_1000_3 1000 7 -221218
random_search knapPI_16_1000_1000_3 1000 8 -218814
random_search knapPI_16_1000_1000_3 1000 9 -219232
random_search knapPI_16_1000_1000_3 1000 10 -219598
random_search knapPI_16_1000_1000_3 1000 11 -219044
random_search knapPI_16_1000_1000_3 1000 12 -220152
random_search knapPI_16_1000_1000_3 1000 13 -211874
random_search knapPI_16_1000_1000_3 1000 14 -220162
random_search knapPI_16_1000_1000_3 1000 15 -215190
random_search knapPI_16_1000_1000_3 1000 16 -212045
random_search knapPI_16_1000_1000_3 1000 17 -222320
random_search knapPI_16_1000_1000_3 1000 18 -221732
random_search knapPI_16_1000_1000_3 1000 19 -218975
random_search knapPI_16_1000_1000_3 1000 20 -218213
random_search knapPI_16_1000_1000_3 1000 21 -220451
random_search knapPI_16_1000_1000_3 1000 22 -220134
random_search knapPI_16_1000_1000_3 1000 23 -223299
random_search knapPI_16_1000_1000_3 1000 24 -223555
random_search knapPI_16_1000_1000_3 1000 25 -217167
random_search knapPI_16_1000_1000_3 1000 26 -218985
random_search knapPI_16_1000_1000_3 1000 27 -222189
random_search knapPI_16_1000_1000_3 1000 28 -220739
random_search knapPI_16_1000_1000_3 1000 29 -217884
