Search_method Problem Max_evals Run Score
hill_climb knapPI_16_1000_1000_3 10000 0 24283
hill_climb knapPI_16_1000_1000_3 10000 1 25201
hill_climb knapPI_16_1000_1000_3 10000 2 23308
hill_climb knapPI_16_1000_1000_3 10000 3 25849
hill_climb knapPI_16_1000_1000_3 10000 4 23689
hill_climb knapPI_16_1000_1000_3 10000 5 25348
hill_climb knapPI_16_1000_1000_3 10000 6 24291
hill_climb knapPI_16_1000_1000_3 10000 7 25198
hill_climb knapPI_16_1000_1000_3 10000 8 25452
hill_climb knapPI_16_1000_1000_3 10000 9 23254
hill_climb knapPI_16_1000_1000_3 10000 10 23127
hill_climb knapPI_16_1000_1000_3 10000 11 28108
hill_climb knapPI_16_1000_1000_3 10000 12 25316
hill_climb knapPI_16_1000_1000_3 10000 13 26402
hill_climb knapPI_16_1000_1000_3 10000 14 24855
hill_climb knapPI_16_1000_1000_3 10000 15 24956
hill_climb knapPI_16_1000_1000_3 10000 16 25030
hill_climb knapPI_16_1000_1000_3 10000 17 25882
hill_climb knapPI_16_1000_1000_3 10000 18 25708
hill_climb knapPI_16_1000_1000_3 10000 19 25181
hill_climb knapPI_16_1000_1000_3 10000 20 26395
hill_climb knapPI_16_1000_1000_3 10000 21 25778
hill_climb knapPI_16_1000_1000_3 10000 22 27110
hill_climb knapPI_16_1000_1000_3 10000 23 24187
hill_climb knapPI_16_1000_1000_3 10000 24 25627
hill_climb knapPI_16_1000_1000_3 10000 25 23962
hill_climb knapPI_16_1000_1000_3 10000 26 27644
hill_climb knapPI_16_1000_1000_3 10000 27 26156
hill_climb knapPI_16_1000_1000_3 10000 28 23575
hill_climb knapPI_16_1000_1000_3 10000 29 24837
random_restart knapPI_16_1000_1000_3 10000 0 -77570
random_restart knapPI_16_1000_1000_3 10000 1 -81027
random_restart knapPI_16_1000_1000_3 10000 2 -76366
random_restart knapPI_16_1000_1000_3 10000 3 -86842
random_restart knapPI_16_1000_1000_3 10000 4 -81226
random_restart knapPI_16_1000_1000_3 10000 5 -77553
random_restart knapPI_16_1000_1000_3 10000 6 -79124
random_restart knapPI_16_1000_1000_3 10000 7 -82028
random_restart knapPI_16_1000_1000_3 10000 8 -79464
random_restart knapPI_16_1000_1000_3 10000 9 -82331
random_restart knapPI_16_1000_1000_3 10000 10 -80476
random_restart knapPI_16_1000_1000_3 10000 11 -86204
random_restart knapPI_16_1000_1000_3 10000 12 -81277
random_restart knapPI_16_1000_1000_3 10000 13 -82697
random_restart knapPI_16_1000_1000_3 10000 14 -82329
random_restart knapPI_16_1000_1000_3 10000 15 -82087
random_restart knapPI_16_1000_1000_3 10000 16 -85078
random_restart knapPI_16_1000_1000_3 10000 17 -77911
random_restart knapPI_16_1000_1000_3 10000 18 -75619
random_restart knapPI_16_1000_1000_3 10000 19 -80844
random_restart knapPI_16_1000_1000_3 10000 20 -83403
random_restart knapPI_16_1000_1000_3 10000 21 -81976
random_restart knapPI_16_1000_1000_3 10000 22 -81432
random_restart knapPI_16_1000_1000_3 10000 23 -84988
random_restart knapPI_16_1000_1000_3 10000 24 -82020
random_restart knapPI_16_1000_1000_3 10000 25 -84196
random_restart knapPI_16_1000_1000_3 10000 26 -75295
random_restart knapPI_16_1000_1000_3 10000 27 -73525
random_restart knapPI_16_1000_1000_3 10000 28 -83820
random_restart knapPI_16_1000_1000_3 10000 29 -78937
random_search knapPI_16_1000_1000_3 10000 0 -212353
random_search knapPI_16_1000_1000_3 10000 1 -211841
random_search knapPI_16_1000_1000_3 10000 2 -216864
random_search knapPI_16_1000_1000_3 10000 3 -203894
random_search knapPI_16_1000_1000_3 10000 4 -216854
random_search knapPI_16_1000_1000_3 10000 5 -213469
random_search knapPI_16_1000_1000_3 10000 6 -212571
random_search knapPI_16_1000_1000_3 10000 7 -212231
random_search knapPI_16_1000_1000_3 10000 8 -214733
random_search knapPI_16_1000_1000_3 10000 9 -215888
random_search knapPI_16_1000_1000_3 10000 10 -213553
random_search knapPI_16_1000_1000_3 10000 11 -214169
random_search knapPI_16_1000_1000_3 10000 12 -212302
random_search knapPI_16_1000_1000_3 10000 13 -211867
random_search knapPI_16_1000_1000_3 10000 14 -212821
random_search knapPI_16_1000_1000_3 10000 15 -211017
random_search knapPI_16_1000_1000_3 10000 16 -214919
random_search knapPI_16_1000_1000_3 10000 17 -214080
random_search knapPI_16_1000_1000_3 10000 18 -213524
random_search knapPI_16_1000_1000_3 10000 19 -214258
random_search knapPI_16_1000_1000_3 10000 20 -218824
random_search knapPI_16_1000_1000_3 10000 21 -210865
random_search knapPI_16_1000_1000_3 10000 22 -209706
random_search knapPI_16_1000_1000_3 10000 23 -216497
random_search knapPI_16_1000_1000_3 10000 24 -213474
random_search knapPI_16_1000_1000_3 10000 25 -210120
random_search knapPI_16_1000_1000_3 10000 26 -215758
random_search knapPI_16_1000_1000_3 10000 27 -211679
random_search knapPI_16_1000_1000_3 10000 28 -212494
random_search knapPI_16_1000_1000_3 10000 29 -215462

